patent_id,title,filing_date,inventor_id,inventor_name,company_id,company_name
10099298,Cutting insert and indexable drill,2018-10-16,fl:hy_ln:lim-49,Hyo Joon Lim,361ffb07-0c17-47f5-a6e6-2018ada787c0,KORLOY INC.
10038114,Semiconductor device and manufacturing method thereof,2018-07-31,fl:sh_ln:watanuki-2,Shinichi Watanuki,f354228e-3553-4520-9ba7-adc273a6e7ad,Renesas Electronics Corporation
10027356,Zero-cross-pre-distortion (ZCPD) algorithm for DTC based polar DTx,2018-07-17,fl:of_ln:degani-2,Ofir Degani,07e8edf5-e489-4fb4-8ac6-c9e290f94740,Intel IP Corporation
10087970,Sealant Containment Assembly,2018-10-02,fl:ja_ln:martinez-5,Jazzmin P. Martinez,d741637e-71a6-4101-a7db-0c2ba20a2958,The Boeing Company
10064768,Y-shaped gauze positioning assembly,2018-09-04,fl:ni_ln:lin-6,Nien-Hsun Lin,d036858f-3c0d-4a7d-afd3-5a40497d5b9e,I-SHOU UNIVERSITY
10015021,Home appliance and mobile terminal,2018-07-03,fl:la_ln:kim-17,Lagyoung Kim,906da649-dd98-4eac-a78c-d5dc3cc385b1,LG ELECTRONICS INC.
10092738,Methods and devices for inhibiting nerves when activating brown adipose tissue,2018-10-09,fl:ta_ln:baynham-1,Tamara Colette Baynham,8f089b00-5c6c-41fe-8f94-813ca79cb2b1,"Ethicon, Inc."
10093103,"Liquid discharge apparatus, imprint apparatus, and article manufacturing method",2018-10-09,fl:yo_ln:araki-27,Yoshimasa Araki,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA
10013023,Electronic device and method for disassembling the electronic device,2018-07-03,fl:ji_ln:lee-561,Ji-Woo Lee,533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD."
10038476,Apparatus and method for communication using wireless power,2018-07-31,fl:yo_ln:hong-44,Young Tack Hong,533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD."
10064768,Y-shaped gauze positioning assembly,2018-09-04,fl:yu_ln:lin-250,Yu-Hua Lin,d036858f-3c0d-4a7d-afd3-5a40497d5b9e,I-SHOU UNIVERSITY
10033712,Network security based on proximity,2018-07-24,fl:sa_ln:chandrasekaran-10,Sashikanth Chandrasekaran,048b2efe-1ff2-4857-9bbc-18422f0f1910,GOOGLE LLC
10092452,Targeted delivery of magnetically tagged active agents in combination with negative pressure wound therapy,2018-10-09,fl:ti_ln:robinson-7,Timothy Mark Robinson,589307e9-0de2-4991-906b-1eec027000bb,"KCI Licensing, Inc."
10056668,High-frequency cavity resonator filter with diametrically-opposed heat transfer legs,2018-08-21,fl:ge_ln:fiedziuszko-1,George A. Fiedziuszko,5161010e-cc06-4e4f-a81e-d5d62cea7232,"Space Systems/Loral, LLC"
10045289,Method and apparatus for controlling enabling of station,2018-08-07,fl:ho_ln:zhuang-5,Hongcheng Zhuang,66e2c62e-301f-42e2-a6de-b62c87f792e5,"HUAWEI TECHNOLOGIES CO., LTD."
10066917,Lifting plug having improved insensitive performance for high explosive projectile,2018-09-04,fl:ye_ln:youn-12,Yea Min Youn,,
