country,total
,25063
US,9546
JP,4348
DE,2457
KR,1917
CN,1390
FR,892
GB,713
CA,572
IL,439
IN,429
CH,327
SE,272
AT,148
NL,142
FI,140
AU,133
TW,110
DK,104
BE,102
RU,101
ES,65
NO,56
NZ,39
IT,39
BR,36
SA,31
CZ,31
PL,29
CM,26
IE,24
ZA,23
MY,22
TR,20
AR,18
MX,16
HU,16
UA,15
BG,15
PH,12
AE,12
EG,9
PT,8
LT,7
EE,7
IS,6
LU,5
LI,5
IR,5
VN,4
SI,4
RO,3
ID,3
CU,3
BY,3
BM,3
TH,2
PK,2
MU,2
KP,2
GR,2
VU,1
UZ,1
UY,1
TJ,1
SK,1
QA,1
PE,1
OM,1
MA,1
KZ,1
KE,1
JO,1
HT,1
HR,1
GH,1
FO,1
EC,1
CY,1
CR,1
CO,1
CL,1
BS,1
BH,1
BD,1
AZ,1
