company_id,name,total_patents
533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD.",31
29b8f534-149e-443c-b76b-3c4a222da89c,International Business Machines Corporation,21
55bc7465-2823-418d-9835-41d555c610a6,SONY GROUP CORPORATION,10
906da649-dd98-4eac-a78c-d5dc3cc385b1,LG ELECTRONICS INC.,10
877b4262-7552-45e3-adc3-c484b3095cf3,SEIKO EPSON CORPORATION,9
f68061b9-5827-43c8-8f62-33cae08b6d16,Siemens Aktiengesellschaft,9
38cff6e0-fc52-4faf-9fa9-b72912600dee,Apple Inc.,8
74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION,8
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,8
e26f6502-4416-481e-b15a-e69178b15dfc,"Micron Technology, Inc.",8
048b2efe-1ff2-4857-9bbc-18422f0f1910,GOOGLE LLC,7
4ef2b9c8-d3e7-40d6-ac53-8694d8fe890f,Kabushiki Kaisha Toshiba,7
0bc189af-3eb0-4f95-9c77-b230b103c2cb,PANASONIC HOLDINGS CORPORATION,6
7fd570bb-8d88-4ad9-832b-532add7b7500,"HONDA MOTOR CO., LTD.",6
93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD.",6
f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated,6
1c631b96-8301-4819-bd8c-2e69e2ef6c76,Robert Bosch GmbH,5
328434ce-a701-4c29-8aef-e9a7d3722319,"MURATA MANUFACTURING CO., LTD.",5
7f7f1d2f-d858-4e97-8723-87f06ac28989,"CISCO TECHNOLOGY, INC.",5
8f4094b7-206a-49cc-bada-d91974888071,The Procter & Gamble Company,5
