inventor_id,name,total_patents
fl:ch_ln:cant-3,Chris Cant,2
fl:do_ln:kang-21,Dong Min KANG,2
fl:ru_ln:goodings-1,Rupert Leslie Alexander Goodings,2
fl:yu_ln:li-458,Yu Ngok Li,2
00h0tpepjwaw9qg0t71t4iexe,Fumiaki Katagawa,1
01as0bxvz97ekrsk41a8xfccq,Hans-Jurgen Hantke,1
01e0yoj4hiegh3cscldgcpr4m,Ronald E. Bottino,1
01twduguxwaw53942cyr9c6ig,Say Wei Pang,1
023k7x7lii8byffkw1bnqgni1,Sandra Oberdieck,1
025umf7yony9jw9bxrjm88vag,Wallace Perrigo,1
028j3du6osnlncpst2qkb7z7f,Jurriaan Borstlap,1
02a7x9g6xf5pri3yzwedibmuf,Jerry H. Atencio,1
02stc0bnkwvwkijdt70oj4k2y,Dieter Giersch,1
02swadp0wajs9906jzdtecq84,Seiichi Kamamoto,1
03r3ipddyth47rvw1rrogw5wg,Philippe D. De Sabatier,1
03ua4hfivxfsls66fjv463b5e,Robert W. Caffey,1
040ee6uqntxy7c1qhu8wiw5ac,Carmen Francisca Maria van Vilsteren,1
046umpvhpskld3p19r2lk4wtm,Elva P. Kopacz,1
04jolmt318cms22ateb3ktpij,Carolina Suyu Gutierrez Espinosa,1
04l7nn4b6vhkys40gd7rxhh0i,Herjon Shaqiri,1
